,groupId,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,UniqueWordCount,avgSD,avgEVC,rank,groupName
297,DorothyDay678,0.021709634,0.033921303,0,1,0.45,32,0.8,0.03256445,0.014925373,0.008141113,0.014925373,0.029850746,0.004070556,0.012211669,0.415196744,0.749295289,0.572785286,4,DorothyDay
298,YV43,0.007371007,0.007371007,0,1,0.608695652,15,0.652173913,0.044226044,0,0.004914005,0,0.004914005,0,0.014742015,0.508599509,0.674147007,0.424220076,4,YV
299,MehrBaba046,0.049797571,0.011740891,1,0,0.475935829,161,0.860962567,0.002834008,0.045748988,0.055060729,0.000404858,0.006882591,0,0.031983806,0.126315789,0.862735387,0.787118817,6,MehrBaba
300,DorothyDay666,0.023709902,0.026499303,0,1,0.484848485,26,0.787878788,0.033472803,0.011157601,0.012552301,0.008368201,0.006973501,0.0041841,0.015341702,0.421199442,0.76337541,0.566823402,2,DorothyDay
301,Bahai23,0.027272727,0.009090909,1,0,0.4,7,0.466666667,0,0.003030303,0,0.003030303,0,0,0.024242424,0.415151515,0.859983554,0.719353848,6,Bahai
302,YV01,0.005479452,0.008219178,0,1,0.409090909,13,0.590909091,0.002739726,0,0,0.032876712,0.010958904,0.005479452,0.002739726,0.526027397,0.73993641,0.502723161,3,YV
303,Rabbinic017,0.023717595,0.015995587,1,0,0.187739464,124,0.475095785,0.000551572,0.003309432,0.004688362,0.010755654,0.040816327,0,0.021787093,0.238279095,0.68017751,0.580441353,4,Rabbinic
304,YV04,0.03820598,0.008305648,1,0,0.350993377,102,0.675496689,0.022702104,0.058139535,0.002214839,0.00055371,0.00166113,0.00055371,0.014950166,0.259136213,0.71564461,0.7146557,3,YV
305,LiberalJudaism129,0.019534185,0.011269722,1,0,0.434782609,56,0.811594203,0.050338092,0.002253944,0.008264463,0.008264463,0.007513148,0.002253944,0.010518407,0.363636364,0.690865787,0.504628491,3,LiberalJudaism
306,MehrBaba107,0.026119403,0.029850746,0,1,0.483870968,21,0.677419355,0.002487562,0,0,0.008706468,0.021144279,0,0.021144279,0.400497512,0.782435209,0.702333889,6,MehrBaba
307,Rabbinic030,0.023613596,0.005008945,1,0,0.342857143,95,0.542857143,0.001788909,0.005724508,0.00608229,0.006797853,0.023613596,0.000715564,0.02862254,0.228980322,0.811838859,0.733158496,4,Rabbinic
308,Rabbinic031,0.011306863,0.019195372,0,1,0.171428571,125,0.396825397,0.001577702,0.002892453,0.006836708,0.021824875,0.014725217,0.001051801,0.022613726,0.237970024,0.715961656,0.545855379,4,Rabbinic
309,Unitarian260,0.024010976,0.016007318,1,0,0.254166667,168,0.7,0.018751429,0.006174251,0.033844043,0.009833067,0.008918363,0.003658815,0.006860279,0.283329522,0.646829946,0.584276725,5,Unitarian
